,dxv,cur_sl_pl,stop_loss,tot_price_pl,triggered,invested,active,cur_price_pl,enter_price,tot_sl_pl
281,,,,,False,,False,,,
282,,,,,False,,False,,,
283,,,,,False,,False,,,
284,,,,,False,,False,,,
285,,,,,False,,False,,,
286,,,,,False,,False,,,
287,,,,,False,,False,,,
288,,,,,False,,False,,,
289,,,,,False,,False,,,
290,,,,,False,,False,,,
291,,,,,False,,False,,,
292,,,,,False,,False,,,
293,,,,,False,,False,,,
294,,,,,False,,False,,,
295,,,,,False,,False,,,
296,,,,,False,,False,,,
297,,,,,False,,False,,,
298,66.184,,6684.584,,False,,True,,6618.4,
299,66.184,,6656.19278964,,False,,True,,6618.4,
300,66.184,,6656.19278964,,False,,True,,6618.4,
301,66.184,,6656.19278964,,False,,True,,6618.4,
302,66.184,,6656.19278964,,True,,True,,6618.4,
303,,,,,False,,False,,,
304,,,,,False,,False,,,
305,66.3,,6696.3,,False,,True,,6630.0,
306,66.3,,6696.3,,True,,True,,6630.0,
307,,,,,False,,False,,,
308,,,,,False,,False,,,
309,,,,,False,,False,,,
310,,,,,False,,False,,,
311,,,,,False,,False,,,
312,,,,,False,,False,,,
313,,,,,False,,False,,,
314,,,,,False,,False,,,
315,,,,,False,,False,,,
316,,,,,False,,False,,,
317,,,,,False,,False,,,
318,,,,,False,,False,,,
319,,,,,False,,False,,,
320,,,,,False,,False,,,
321,,,,,False,,False,,,
322,,,,,False,,False,,,
323,,,,,False,,False,,,
324,,,,,False,,False,,,
325,,,,,False,,False,,,
326,,,,,False,,False,,,
327,,,,,False,,False,,,
328,,,,,False,,False,,,
329,,,,,False,,False,,,
330,,,,,False,,False,,,
331,,,,,False,,False,,,
332,,,,,False,,False,,,
333,,,,,False,,False,,,
334,70.33346769410001,,7103.6802371041,,False,,True,,7033.34676941,
335,70.33346769410001,,7103.6802371041,,False,,True,,7033.34676941,
336,70.33346769410001,,7103.6802371041,,False,,True,,7033.34676941,
337,70.33346769410001,,7103.6802371041,,True,,True,,7033.34676941,
338,,,,,False,,False,,,
339,,,,,False,,False,,,
340,69.7,,7039.7,,False,,True,,6970.0,
341,69.7,,7039.7,,False,,True,,6970.0,
342,69.7,,7039.7,,False,,True,,6970.0,
343,69.7,,7039.7,,True,,True,,6970.0,
344,,,,,False,,False,,,
345,,,,,False,,False,,,
346,,,,,False,,False,,,
347,69.6563711104,,7035.2934821503995,,False,,True,,6965.63711104,
348,69.6563711104,,7035.2934821503995,,False,,True,,6965.63711104,
349,69.6563711104,,6982.4618339604,,False,,True,,6965.63711104,
350,69.6563711104,,6948.2563307204,,False,,True,,6965.63711104,
351,69.6563711104,,6914.7097851404,,False,,True,,6965.63711104,
352,69.6563711104,,6914.7097851404,,False,,True,,6965.63711104,
353,69.6563711104,,6914.7097851404,,False,,True,,6965.63711104,
354,69.6563711104,,6889.829371110401,,False,,True,,6965.63711104,
355,69.6563711104,,6889.829371110401,,True,,True,,6965.63711104,
356,,,,,False,,False,,,
357,,,,,False,,False,,,
358,,,,,False,,False,,,
359,,,,,False,,False,,,
360,,,,,False,,False,,,
361,,,,,False,,False,,,
362,,,,,False,,False,,,
363,,,,,False,,False,,,
364,,,,,False,,False,,,
365,,,,,False,,False,,,
366,,,,,False,,False,,,
367,,,,,False,,False,,,
368,,,,,False,,False,,,
369,,,,,False,,False,,,
370,,,,,False,,False,,,
371,,,,,False,,False,,,
372,,,,,False,,False,,,
373,,,,,False,,False,,,
374,,,,,False,,False,,,
375,,,,,False,,False,,,
376,,,,,False,,False,,,
377,,,,,False,,False,,,
378,,,,,False,,False,,,
379,71.8567803196,,7257.5348122796,,False,,True,,7185.67803196,
380,71.8567803196,,7257.5348122796,,False,,True,,7185.67803196,
381,71.8567803196,,7212.9907816196,,False,,True,,7185.67803196,
382,71.8567803196,,7212.9907816196,,False,,True,,7185.67803196,
383,71.8567803196,,7212.9907816196,,True,,True,,7185.67803196,
384,,,,,False,,False,,,
385,,,,,False,,False,,,
386,72.3031560507,,7302.6187611207,,False,,True,,7230.31560507,
387,72.3031560507,,7263.4936260507,,False,,True,,7230.31560507,
388,72.3031560507,,7263.4936260507,,False,,True,,7230.31560507,
389,72.3031560507,,7263.4936260507,,True,,True,,7230.31560507,
390,,,,,False,,False,,,
391,,,,,False,,False,,,
392,,,,,False,,False,,,
393,,,,,False,,False,,,
394,,,,,False,,False,,,
395,72.2698229218,,7299.2521151018,,False,,True,,7226.98229218,
396,72.2698229218,,7299.2521151018,,False,,True,,7226.98229218,
397,72.2698229218,,7299.2521151018,,False,,True,,7226.98229218,
398,72.2698229218,,7299.2521151018,,False,,True,,7226.98229218,
399,72.2698229218,,7299.2521151018,,False,,True,,7226.98229218,
400,72.2698229218,,7299.2521151018,,False,,True,,7226.98229218,
401,72.2698229218,,7299.2521151018,,False,,True,,7226.98229218,
402,72.2698229218,,7299.2521151018,,True,,True,,7226.98229218,
403,,,,,False,,False,,,
404,,,,,False,,False,,,
405,,,,,False,,False,,,
406,,,,,False,,False,,,
407,,,,,False,,False,,,
408,,,,,False,,False,,,
409,,,,,False,,False,,,
410,,,,,False,,False,,,
411,,,,,False,,False,,,
412,,,,,False,,False,,,
413,,,,,False,,False,,,
414,,,,,False,,False,,,
415,,,,,False,,False,,,
416,,,,,False,,False,,,
417,,,,,False,,False,,,
418,,,,,False,,False,,,
419,,,,,False,,False,,,
420,,,,,False,,False,,,
421,71.10922374959999,,7182.031598709599,,False,,True,,7110.92237496,
422,71.10922374959999,,7066.1247826496,,False,,True,,7110.92237496,
423,71.10922374959999,,7066.1247826496,,False,,True,,7110.92237496,
424,71.10922374959999,,7061.1092237496,,False,,True,,7110.92237496,
425,71.10922374959999,,6986.1092237496,,False,,True,,7110.92237496,
426,71.10922374959999,,6976.320223969599,,False,,True,,7110.92237496,
427,71.10922374959999,,6976.320223969599,,False,,True,,7110.92237496,
428,71.10922374959999,,6771.109223759599,,False,,True,,7110.92237496,
429,71.10922374959999,,6512.536547279599,,False,,True,,7110.92237496,
430,71.10922374959999,,6511.6049448396,,False,,True,,7110.92237496,
431,71.10922374959999,,6468.3796508596,,False,,True,,7110.92237496,
432,71.10922374959999,,6468.3796508596,,False,,True,,7110.92237496,
433,71.10922374959999,,6459.4638137495995,,False,,True,,7110.92237496,
434,71.10922374959999,,6459.4638137495995,,False,,True,,7110.92237496,
435,71.10922374959999,,6459.4638137495995,,True,,True,,7110.92237496,
436,64.3032382999,,6494.6270682899,,False,,True,,6430.32382999,
437,64.3032382999,,6464.3032382999,,False,,True,,6430.32382999,
438,64.3032382999,,6464.3032382999,,True,,True,,6430.32382999,
439,,,,,False,,False,,,
440,,,,,False,,False,,,
441,,,,,False,,False,,,
442,,,,,False,,False,,,
443,,,,,False,,False,,,
444,,,,,False,,False,,,
445,64.5320000017,,6517.7320001717,,False,,True,,6453.20000017,
446,64.5320000017,,6436.5319992017,,False,,True,,6453.20000017,
447,64.5320000017,,6436.5319992017,,True,,True,,6453.20000017,
448,63.7999999965,,6443.7999996465005,,False,,True,,6379.99999965,
449,63.7999999965,,6443.7999996465005,,False,,True,,6379.99999965,
450,63.7999999965,,6443.7999996465005,,False,,True,,6379.99999965,
451,63.7999999965,,6443.7999996465005,,False,,True,,6379.99999965,
452,63.7999999965,,6443.7999996465005,,False,,True,,6379.99999965,
453,63.7999999965,,6443.7999996465005,,False,,True,,6379.99999965,
454,63.7999999965,,6443.7999996465005,,False,,True,,6379.99999965,
455,63.7999999965,,6443.7999996465005,,False,,True,,6379.99999965,
456,63.7999999965,,6443.7999996465005,,True,,True,,6379.99999965,
457,,,,,False,,False,,,
458,,,,,False,,False,,,
459,,,,,False,,False,,,
460,,,,,False,,False,,,
461,62.15,,6277.15,,False,,True,,6215.0,
462,62.15,,6236.7067486099995,,False,,True,,6215.0,
463,62.15,,6236.7067486099995,,False,,True,,6215.0,
464,62.15,,6236.7067486099995,,False,,True,,6215.0,
465,62.15,,6236.7067486099995,,False,,True,,6215.0,
466,62.15,,6236.7067486099995,,False,,True,,6215.0,
467,62.15,,6236.7067486099995,,False,,True,,6215.0,
468,62.15,,6236.7067486099995,,False,,True,,6215.0,
469,62.15,,6236.7067486099995,,True,,True,,6215.0,
470,,,,,False,,False,,,
471,,,,,False,,False,,,
472,,,,,False,,False,,,
473,,,,,False,,False,,,
474,,,,,False,,False,,,
475,,,,,False,,False,,,
476,62.4778526753,,6310.2631202053,,False,,True,,6247.78526753,
477,62.4778526753,,6310.2631202053,,True,,True,,6247.78526753,
478,,,,,False,,False,,,
479,,,,,False,,False,,,
480,,,,,False,,False,,,
481,,,,,False,,False,,,
482,,,,,False,,False,,,
483,,,,,False,,False,,,
484,,,,,False,,False,,,
485,62.6301816864,,6325.6483503264,,False,,True,,6263.01816864,
486,62.6301816864,,6325.6483503264,,False,,True,,6263.01816864,
487,62.6301816864,,6325.6483503264,,False,,True,,6263.01816864,
488,62.6301816864,,6325.6483503264,,False,,True,,6263.01816864,
489,62.6301816864,,6325.6483503264,,True,,True,,6263.01816864,
490,,,,,False,,False,,,
491,,,,,False,,False,,,
492,,,,,False,,False,,,
493,,,,,False,,False,,,
494,62.7536510806,,6338.118759140601,,False,,True,,6275.36510806,
495,62.7536510806,,6338.118759140601,,False,,True,,6275.36510806,
496,62.7536510806,,6309.530039320601,,False,,True,,6275.36510806,
497,62.7536510806,,6309.530039320601,,False,,True,,6275.36510806,
498,62.7536510806,,6309.530039320601,,False,,True,,6275.36510806,
499,62.7536510806,,6309.530039320601,,True,,True,,6275.36510806,
500,,,,,False,,False,,,
501,,,,,False,,False,,,
502,,,,,False,,False,,,
503,,,,,False,,False,,,
504,62.468511124799996,,6309.3196236048,,False,,True,,6246.85111248,
505,62.468511124799996,,6309.3196236048,,False,,True,,6246.85111248,
506,62.468511124799996,,6307.3485111248,,False,,True,,6246.85111248,
507,62.468511124799996,,6307.3485111248,,False,,True,,6246.85111248,
508,62.468511124799996,,6307.3485111248,,False,,True,,6246.85111248,
509,62.468511124799996,,6307.3485111248,,False,,True,,6246.85111248,
510,62.468511124799996,,6307.3485111248,,True,,True,,6246.85111248,
